Date,Open,High,Low,Close,Volume,"Up","Down","RSI(14)"
11/29/2021,1100.99,1142.67,1100.19,1136.99,19464467,19464467,,59.016976041098864
11/26/2021,1099.47,1108.7827,1081,1081.92,11680890,11680890,,53.42862984178262
11/24/2021,1080.39,1132.77,1062,1116,22560238,22560238,,57.971083970000784
11/23/2021,1167.51,1180.4999,1062.7,1109.03,36171700,36171700,,57.2813485057933
11/22/2021,1162.33,1201.95,1132.43,1156.8699,33072509,33072509,,63.97249362194225
11/19/2021,1098.8699,1138.7199,1092.7,1137.06,21642258,21642258,,62.27820700848052
11/18/2021,1106.55,1112,1075.02,1096.38,20898930,20898930,,58.562323890711276
11/17/2021,1063.51,1119.64,1055.5,1089.01,31445365,31445365,,57.864052347506345
11/16/2021,1003.31,1057.1999,1002.18,1054.73,26542359,26542359,,54.55664258336617
11/15/2021,1017.63,1031.98,978.6,1013.39,34775649,34775649,,50.17731599602776
11/12/2021,1047.5,1054.5,1019.2,1033.42,25573148,25573148,,52.45147279192377
11/11/2021,1102.77,1104.97,1054.68,1063.51,22396568,22396568,,55.99136978694672
11/10/2021,1010.41,1078.1,987.31,1067.95,42802722,42802722,,56.513964256320406
11/09/2021,1173.6,1174.5,1011.52,1023.5,59105836,59105836,,52.38239146043612
11/08/2021,1149.785,1197,1133,1162.94,33445715,33445715,,72.4269638565185
11/05/2021,1228,1239.8699,1208,1222.09,21628812,21628812,,85.28124162798368
11/04/2021,1234.41,1243.49,1217,1229.91,25397410,25397410,,87.18072366517409
11/03/2021,1177.33,1215.39,1152.6199,1213.8599,34628519,34628519,,86.61243420610026
11/02/2021,1159.355,1208.59,1146,1172,42737797,42737797,,85.00228156925806
11/01/2021,1145,1209.75,1118.66,1208.59,56048716,56048716,,94.19802313867483
10/29/2021,1081.8599,1115.21,1073.205,1114,29918417,29918417,,92.16277970763389
10/28/2021,1068.305,1081,1054.2,1077.04,27213173,27213173,,91.01983042144408
10/27/2021,1039.66,1070.88,1030.78,1037.8599,38526459,38526459,,89.51461693076051
10/26/2021,1024.69,1094.94,1001.44,1018.43,62414968,62414968,,88.63760874715422
10/25/2021,950.53,1045.02,944.2,1024.8599,62852099,62852099,,90.97587828202461
10/22/2021,895.5,910,890.96,909.68,22880835,22880835,,83.92002028692826
10/21/2021,856,900,855.5046,894,31481454,31481454,,82.15636864379344
10/20/2021,865.35,869.49,857.38,865.8,14032052,14032052,,78.15512224647595
10/19/2021,877.53,877.95,862.51,864.27,17381128,17381128,,77.90551710049151
10/18/2021,851.79,875.26,851.47,870.11,24207244,24207244,,81.19375535677473
10/15/2021,823.7384,843.21,822.35,843.03,18924567,18924567,,77.01683696059453
10/14/2021,815.49,820.25,813.3501,818.32,12247170,12247170,,71.68903634831706
10/13/2021,810.47,815.41,805.78,811.08,14120075,14120075,,69.7832835217129
10/12/2021,800.9299,812.32,796.57,805.72,22020040,22020040,,68.31713521048954
10/11/2021,787.65,801.24,785.5,791.94,14200322,14200322,,64.1664454896796
